Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces
2020 IPA,1777,0.074,74,241,American IPA,16
Wolf Among Weeds IPA,1698,0.08,70,241,American IPA,16
Better Weather IPA,1641,0.094,92,241,American IPA,16
Point the Way IPA,1490,0.059,60,241,American IPA,16
Golden Road Hefeweizen,1489,0.046,15,241,Hefeweizen,16
Heal the Bay IPA,1399,0.068,65,241,American IPA,16
Point the Way IPA,1296,0.059,60,241,American IPA,12
Cabrillo Kölsch,1034,0.05,,241,Kölsch,16
Get Up Offa That Brown,991,0.055,20,241,American Brown Ale,16
Burning Bush Smoked IPA,750,0.08,70,241,American IPA,16
Wolf Among Weeds IPA (2012),749,0.08,70,241,American IPA,16
Point the Way IPA (2012),549,0.059,60,241,American IPA,16
Golden Road Hefeweizen (2012),548,0.046,15,241,Hefeweizen,16
Vanilla Porter,2587,0.07,11,40,American Porter,16
Descender IPA,1109,0.07,70,465,American IPA,12
Sweet As Pacific Ale,1108,0.06,18,465,American Pale Wheat Ale,12
Good People Pale Ale,1000,0.056,36,479,American Pale Ale (APA),12
Snake Handler Double IPA,312,0.093,103,479,American Double / Imperial IPA,12
Coffee Oatmeal Stout,311,0.06,54,479,Oatmeal Stout,12
Good People IPA,309,0.06,64,479,American IPA,12
Good People American Brown Ale,308,0.058,36,479,American Brown Ale,12
Mountain Rescue Pale Ale,2205,0.055,40,195,American Pale Ale (APA),12
Goose Island India Pale Ale,2198,0.059,55,197,American IPA,12
312 Urban Pale Ale,2457,0.054,30,89,American Pale Ale (APA),16
312 Urban Pale Ale,2202,0.054,30,89,American Pale Ale (APA),12
312 Urban Wheat Ale,2201,0.042,18,89,American Pale Wheat Ale,16
312 Urban Wheat Ale,1829,0.042,18,89,American Pale Wheat Ale,12
312 Urban Wheat Ale (2012),581,0.042,20,89,American Pale Wheat Ale,12
Beaver Logger,1383,0.052,19,421,American Pale Lager,12
White Water Wheat,477,0.05,,537,American Pale Wheat Ale,12
Grand Canyon American Pilsner,476,0.052,,537,American Pilsner,12
Grand Canyon Sunset Amber Ale,143,0.054,,537,American Amber / Red Ale,12
Black Iron India Pale Ale,142,,,537,American IPA,12
Monarch Classic American Wheat,2129,0.043,21,214,American Pale Wheat Ale,12
Sir William's English Brown Ale,2127,0.049,21,214,English Brown Ale,12
Lakefire Rye Pale Ale,2126,0.055,35,214,American Pale Ale (APA),12
Beer Agent Re-Ignition,2303,0.053,22,166,American Blonde Ale,16
Cherry Ale,1990,0.057,18,166,Fruit / Vegetable Beer,16
Bourbon Barrel Aged Coconut Porter,1702,0.056,33,166,American Porter,16
Great Crescent IPA,1701,0.062,60,166,American IPA,16
Aurora Lager,1700,0.057,27,166,Dortmunder / Export Lager,16
Great Crescent Blonde Ale,1699,0.053,22,166,American Blonde Ale,16
Great Crescent Coconut Porter,1269,0.056,33,166,American Porter,16
Great Crescent Oktoberfest Lager,930,0.057,25,166,Märzen / Oktoberfest,16
Great Crescent Brown Ale,649,0.045,36,166,American Brown Ale,16
Cherry Ale (1),639,0.057,18,166,Fruit / Vegetable Beer,16
Aurora Lager (2011),626,0.057,27,166,Dortmunder / Export Lager,16
Frosted Fields Winter Wheat,615,0.06,25,166,American Dark Wheat Ale,16
Great Crescent Belgian Style Wit,478,0.051,13,166,Witbier,16
Bourbon's Barrel Stout,455,0.075,65,166,American Stout,16
Great Crescent Stout,442,0.08,66,166,English Stout,16
Great Crescent Coconut Porter (2012),441,0.056,33,166,American Porter,16
Great Crescent Dark Lager,440,0.057,23,166,Euro Dark Lager,16
Great Crescent Mild Ale,439,0.042,26,166,English Dark Mild Ale,16
Great Crescent IPA (2011),436,0.062,60,166,American IPA,16
Great Crescent Blonde Ale (2011),389,0.053,22,166,American Blonde Ale,16
Denver Pale Ale (Artist Series No. 1),2650,0.05,,7,American Pale Ale (APA),12
Hibernation Ale,2649,0.087,,7,Old Ale,12
Whitewater,2648,0.061,,7,American Pale Wheat Ale,12
Rumble,2647,0.071,,7,American IPA,12
Orabelle,2646,0.083,,7,Tripel,12
Lasso,2645,0.05,,7,American IPA,12
Yeti  Imperial Stout,2644,0.095,75,7,Russian Imperial Stout,12
Colette,2643,0.073,,7,Saison / Farmhouse Ale,12
Titan IPA,2642,0.071,,7,American IPA,12
Black Star Double Hopped Golden Lager (24 oz.),404,0.045,15,544,American Pale Lager,24
Black Star Double Hopped Golden Lager (12 oz.),164,0.045,15,544,American Pale Lager,12
Commotion APA,1923,0.052,49,270,American Pale Ale (APA),12
Southern Drawl Pale Lager,1922,0.052,,270,American Pale Lager,12
Chickawawa Lemonale,1604,0.05,5,366,Fruit / Vegetable Beer,12
Barrel Aged Farmer,1574,0.07,22,366,American Brown Ale,16
Great River Golden Ale,1446,0.048,,366,American Blonde Ale,12
Dirty Blonde Chocolate Ale,1275,0.048,,366,American Blonde Ale,12
Dos Pistolas,1244,0.048,20,366,Vienna Lager,12
Owney Irish Style Red Ale,1064,0.05,30,366,Irish Red Ale,16
Aaah Bock Lager,1028,0.06,,366,Vienna Lager,16
Widespread Wit,865,0.055,10,366,Witbier,16
Roller Dam Red Ale,864,0.054,30,366,Irish Red Ale,16
483 Pale Ale,863,0.053,48,366,American Pale Ale (APA),16
Hop A Potamus Double Dark Rye Pale Ale,672,0.09,99,366,Rye Beer,16
Farmer Brown Ale,655,0.07,22,366,American Brown Ale,16
Big Cock IPA,540,0.07,70,366,American IPA,16
Oktoberfest,539,0.059,25,366,Märzen / Oktoberfest,16
40th Annual Bix Street Fest Copper Ale (Current),517,0.048,25,366,American Amber / Red Ale,16
Redband Stout,371,0.06,36,366,American Stout,16
483 Pale Ale (2010),190,0.053,48,366,American Pale Ale (APA),16
Roller Dam Red Ale (2010),189,0.054,30,366,Irish Red Ale,16
Pablo Beach Pale Ale,1106,0.05,30,467,American Pale Ale (APA),12
Wild Trail Pale Ale,2314,0.057,44,157,American Pale Ale (APA),12
Mothman Black IPA,2313,0.067,71,157,American Black Ale,12
Autumn Winds Fest Beer,2461,0.058,,87,Märzen / Oktoberfest,16
Captain's Daughter,2044,0.085,69,87,American Double / Imperial IPA,12
Autumn Winds,1567,0.058,,380,Märzen / Oktoberfest,16
Flying Jenny Extra Pale Ale,1505,0.06,54,380,American Pale Ale (APA),12
Hazy Day Belgian-Style Wit,1186,0.04,20,380,Witbier,16
Bring Back the Beach Blonde Ale,1185,0.055,,380,American Blonde Ale,16
Leaning Chimney Smoked Porter,984,0.06,34,380,American Porter,16
Flying Jenny Extra Pale Ale (2012),693,0.06,54,380,American Pale Ale (APA),12
Flagship Ale,631,0.049,22,380,Cream Ale,12
Mr. Blue Sky,2375,0.045,6,125,American Pale Wheat Ale,16
3 Scrooges,2143,0.065,,125,Winter Warmer,16
Screamin’ Pumpkin,2142,0.05,25,125,Pumpkin Ale,16
Grand Trunk Bohemian Pils,2141,0.05,35,125,Czech Pilsener,16
El Rojo,2140,0.065,25,125,American Amber / Red Ale,16
Norm's Raggedy Ass IPA,2139,0.075,,125,American IPA,16
Grind Line,2138,0.05,35,125,American Pale Ale (APA),16
Norm's Gateway IPA,2007,0.04,55,125,American IPA,12
Lemon Shandy Tripel,1570,0.09,,125,Tripel,16
Little Red Cap,2339,0.063,43,145,Altbier,12
Supergoose IPA,1857,0.069,67,291,American IPA,12
Hale's Pale American Ale,1440,0.047,,291,American Pale Ale (APA),12
Heyoka IPA,1753,0.07,,328,American IPA,16
Guest Lager,1448,0.08,,328,American Double / Imperial Pilsner,16
Pony Pilsner,1134,0.057,,328,German Pilsener,16
Akari Shogun American Wheat Ale,1066,0.055,,328,American Pale Wheat Ale,16
Meat Wave,849,0.06,,328,English India Pale Ale (IPA),16
Over Ale,352,0.06,,328,American Brown Ale,16
Gossamer Golden Ale,149,0.042,,328,American Blonde Ale,16
Daisy Cutter Pale Ale,148,0.052,,328,American Pale Ale (APA),16
Pursuit,2026,0.07,40,249,American IPA,12
Half Full Bright Ale,1361,0.052,18,249,American Blonde Ale,12
Orange Wheat,1016,0.046,17,477,Fruit / Vegetable Beer,12
Hangar 24 Helles Lager,1015,0.043,14,477,Munich Helles Lager,12
The Great Return,1677,0.075,70,344,American IPA,16
Hardywood Cream Ale,1331,0.044,18,344,Cream Ale,12
Capital Trail Pale Ale,1270,0.056,55,344,American Pale Ale (APA),12
UFO Gingerland,2059,0.052,15,235,Herbed / Spiced Beer,12
The Long Thaw White IPA,1653,0.062,45,235,American White IPA,12
Honey Cider,1558,0.048,,235,Cider,12
Harpoon Summer Beer,1380,0.05,28,235,Kölsch,12
Harpoon IPA,1379,0.059,42,235,American IPA,12
UFO Pumpkin,1340,0.059,20,235,Pumpkin Ale,12
Harpoon Octoberfest,1313,0.055,30,235,Märzen / Oktoberfest,12
Harpoon IPA (2012),770,0.059,42,235,American IPA,12
Harpoon Summer Beer (2012),769,0.05,28,235,Kölsch,12
UFO White,610,0.048,10,235,American Pale Wheat Ale,12
Harpoon Summer Beer (2010),192,0.05,28,235,Kölsch,12
Harpoon IPA (2010),126,0.059,42,235,American IPA,12
Great Falls Select Pale Ale,506,,,536,American Blonde Ale,12
Beltian White,181,0.048,,536,Witbier,12
Kaua'i Golden Ale,2183,0.049,,205,American Blonde Ale,12
Sunset Amber,2182,0.054,,205,American Pale Ale (APA),12
Hapa Brown Ale,2181,0.064,,205,American Brown Ale,19.2
Hapa Brown Ale,2180,0.064,,205,American Brown Ale,12
Southern Cross,2179,0.083,,205,Flanders Red Ale,19.2
Groupe G,1895,0.076,65,281,Belgian IPA,16
Pt. Bonita Rustic Lager,1894,0.062,40,281,American Pale Lager,16
Hill 88 Double IPA,1893,0.088,77,281,American Double / Imperial IPA,16
Loose Cannon,990,0.072,45,480,American IPA,12
AARGHtoberfest!,989,0.06,30,480,Märzen / Oktoberfest,12
Davy Jones Lager,988,0.06,,480,Cream Ale,12
Grazias,1351,0.063,30,424,Cream Ale,16
Habitus IPA,1346,0.08,86,424,American IPA,16
Ex Umbris Rye Imperial Stout,904,0.099,85,424,American Double / Imperial Stout,16
The Golden One,2295,0.063,21,169,American Pilsner,12
The Power of Zeus,2294,0.07,68,169,American Pale Ale (APA),12
Tonganoxie Honey Wheat,824,0.044,22,501,American Pale Wheat Ale,12
Oregon Trail Unfiltered Raspberry Wheat,616,0.045,,501,Fruit / Vegetable Beer,12
Annie's Amber Ale,96,0.055,,501,American Amber / Red Ale,12
The 12th Can™,1615,0.045,32,363,American Pale Ale (APA),16
Hilliard's Pils,889,0.055,34,363,Czech Pilsener,16
Hilliard's Blonde,724,0.049,20,363,American Blonde Ale,16
Hilliard's Amber Ale,497,0.055,60,363,American Amber / Red Ale,16
Hilliard's Saison,496,0.066,30,363,Saison / Farmhouse Ale,16
White Cap White IPA,1652,0.042,,350,American White IPA,16
Provision,1835,0.042,25,298,Saison / Farmhouse Ale,12
One Nut Brown,1834,0.047,28,298,American Brown Ale,12
Hop Farm IPA,1833,0.058,45,298,American IPA,12
Double D Blonde,2195,0.049,20,199,American Blonde Ale,12
Festeroo Winter Ale,1605,0.078,60,199,American Strong Ale,12
Proxima IPA,1543,0.063,70,199,American IPA,12
Double D Blonde (2013),1390,0.049,20,199,American Blonde Ale,12
541 American Lager,1354,0.048,13,199,American Pale Lager,12
Alphadelic IPA,1353,0.065,90,199,American IPA,12
Alphadelic IPA (2011),499,0.065,90,199,American IPA,12
Double D Blonde (2011),498,0.049,20,199,American Blonde Ale,12
Green House India Pale Ale,1501,0.07,,396,American IPA,12
The One They Call Zoe,1004,0.051,,396,American Pale Lager,12
Alteration,502,0.051,40,396,Altbier,12
Pale Dog,501,0.06,50,396,American Pale Ale (APA),12
Porter Culture,2357,0.065,,137,American Porter,12
Hard Cider,2483,0.068,,81,Cider,16
Totally Radler,2482,0.027,21,81,Radler,16
Nonstop Hef Hop,2400,0.039,20,81,American Pale Wheat Ale,16
Nonstop Hef Hop,2399,0.039,20,81,American Pale Wheat Ale,16
Nonstop Hef Hop,2398,0.039,20,81,American Pale Wheat Ale,16
Nonstop Hef Hop,2397,0.039,20,81,American Pale Wheat Ale,16
Nonstop Hef Hop,2396,0.039,20,81,American Pale Wheat Ale,16
Nonstop Hef Hop,2395,0.039,20,81,American Pale Wheat Ale,16
Nonstop Hef Hop,2394,0.039,20,81,American Pale Wheat Ale,16
Nonstop Hef Hop,2393,0.039,20,81,American Pale Wheat Ale,16
Nonstop Hef Hop,2392,0.039,20,81,American Pale Wheat Ale,16
Nonstop Hef Hop,2391,0.039,20,81,American Pale Wheat Ale,16
Nonstop Hef Hop,2390,0.039,20,81,American Pale Wheat Ale,16
Nonstop Hef Hop,2389,0.039,20,81,American Pale Wheat Ale,16
Rise Up Red,2388,0.058,60,81,American Amber / Red Ale,16
Survival Stout,2200,0.058,35,81,American Stout,16
Hopworks IPA,2199,0.066,75,81,American IPA,16
Abominable Winter Ale,2193,0.073,70,81,American Strong Ale,16
Pigwar White India Pale Ale,1398,0.06,60,81,American White IPA,16
Rise-Up Red (2014),1085,0.058,60,81,American Amber / Red Ale,16
Abominable Winter Ale (2012),916,0.073,70,81,American Strong Ale,16
HUB Lager,658,0.051,32,81,Czech Pilsener,16
Hopworks IPA (2012),653,0.066,75,81,American IPA,16
Watermelon Wheat,2385,0.056,,121,American Pale Wheat Ale,12
Laka Laka Pineapple,2384,0.051,17,121,Hefeweizen,12
Oktoberfest,2383,0.06,,121,Märzen / Oktoberfest,16
Trail Maker Pale Ale,1251,0.065,,446,American Pale Ale (APA),12
Action Man Lager,1250,0.055,,446,Vienna Lager,12
Let It Ride IPA,1903,0.068,90,278,American IPA,12
Stir Crazy Winter Ale,1691,0.065,22,278,Winter Warmer,12
Sweet Yamma Jamma Ale,1555,0.05,10,278,Fruit / Vegetable Beer,12
Shenanigans Summer Ale,1115,0.046,27,278,American Pale Wheat Ale,12
Midnight Ryder,729,0.065,80,278,American Black Ale,12
Day Tripper Pale Ale,728,0.054,45,278,American Pale Ale (APA),12
Oklahoma Suks,2350,0.048,32,141,American Amber / Red Ale,12
Power & Light,2301,0.055,42,141,American Pale Ale (APA),12
White Rabbit ,1904,0.059,27,141,Witbier,12
Tribute,2609,0.058,58,24,American Pale Ale (APA),12
Infamous IPA,2038,0.07,75,243,American IPA,12
Hijack,1774,0.055,20,243,Cream Ale,12
Jon Boat Coastal Ale,559,0.045,20,528,American Blonde Ale,12
I-10 IPA,558,0.068,55,528,American IPA,12
People's Pale Ale,553,0.053,28,528,American Pale Ale (APA),12
Summer Ale,2376,0.049,,124,American Blonde Ale,12
Appreciation Ale,1784,,,317,American IPA,16
House Lager,2673,0.052,18,3,Keller Bier / Zwickel Bier,16
Leisure Time,2672,0.048,15,3,American Pale Lager,12
Excess IPL,2671,0.072,80,3,American India Pale Lager,16
Hoponius Union,2670,0.067,65,3,American India Pale Lager,12
Calyptra,2669,0.049,45,3,American India Pale Lager,12
Helen's Blend,1405,0.05,,417,Cider,12
Jack's Hard Cider,823,0.051,,417,Cider,12
Thunder Ann,1793,0.055,37,313,American Pale Ale (APA),12
Razz Wheat,2453,0.055,,93,Fruit / Vegetable Beer,12
Hop Ryot,2363,0.065,,93,American IPA,12
Mystic Mama IPA,689,0.07,,93,American IPA,12
Firefly Amber Ale,688,0.05,,93,American Amber / Red Ale,12
Chomolungma Honey Nut Brown Ale,687,0.067,,93,English Brown Ale,12
Welcome to Scoville,2408,0.069,,115,American IPA,12
Bastian,2595,,,33,American Strong Ale,12
Healani,2480,0.045,,33,Hefeweizen,12
Yabba Dhaba Chai Tea Porter,1525,0.055,,33,American Porter,12
A Capella Gluten Free Pale Ale,1524,0.055,,33,American Pale Ale (APA),12
Casper White Stout,1523,0.06,,33,American Blonde Ale,12
JP's Ould Sod Irish Red IPA,1254,0.06,,33,American IPA,12
Weize Guy,2060,0.05,15,234,Hefeweizen,12
Fox Tail Gluten Free Ale,469,0.05,50,234,American Pale Ale (APA),12
Hop Box Imperial IPA,468,0.093,90,234,American Double / Imperial IPA,12
Joseph James American Lager,467,0.052,15,234,American Adjunct Lager,12
Sucha Much IPA,2163,0.071,,209,American IPA,12
Lewbricator Wheat Dopplebock ,2162,0.075,24,209,Doppelbock,12
Weisse Versa (2012),2374,0.052,16,126,Hefeweizen,12
Mother in Lager,1560,0.058,25,126,Munich Dunkel Lager,12
Weekend Warrior Pale Ale,1557,0.055,40,126,American Pale Ale (APA),12
Karbachtoberfest,1458,0.055,25,126,Märzen / Oktoberfest,12
Love Street Summer Seasonal (2014),1235,0.047,20,126,Kölsch,12
Barn Burner Saison,1068,0.066,20,126,Saison / Farmhouse Ale,12
Rodeo Clown Double IPA,666,0.095,85,126,American Double / Imperial IPA,12
Sympathy for the Lager,465,0.049,45,126,American Amber / Red Lager,12
Weisse Versa,464,0.052,15,126,Hefeweizen,12
Hopadillo India Pale Ale,463,0.066,70,126,American IPA,12
KelSo Nut Brown Lager,1678,0.057,19,343,Euro Dark Lager,12
KelSo India Pale Ale,1572,0.06,64,343,American IPA,12
KelSo Pilsner,1348,0.055,23,343,Czech Pilsener,12
Skilak Scottish Ale,1193,0.058,,459,Scottish Ale,12
Peninsula Brewers Reserve (PBR),1187,0.05,15,459,American Blonde Ale,12
Sunken Island IPA,349,0.068,,459,American IPA,12
Skilak Scottish Ale (2011),348,0.058,,459,Scottish Ale,12
Cold Smoke Scotch Ale (2007),760,0.065,11,511,Scotch Ale / Wee Heavy,16
Double Haul IPA (2009),759,0.065,65,511,American IPA,16
Double Haul IPA (2006),758,0.065,65,511,American IPA,16
Eddy Out Pale Ale,87,0.055,50,511,American Pale Ale (APA),16
Double Haul IPA,86,0.065,65,511,American IPA,16
Cold Smoke Scotch Ale,85,0.065,11,511,Scotch Ale / Wee Heavy,16
U. P. Witbier,2472,,,85,Witbier,12
November Gale Pale Ale,779,,,85,American Pale Ale (APA),12
Olde Ore Dock Scottish Ale,364,,,85,Scottish Ale,12
Widow Maker Black Ale,60,,,85,American Brown Ale,12
Lift Bridge Brown Ale,59,,,85,American Brown Ale,12
Pick Axe Blonde Ale,58,,,85,American Blonde Ale,12
Red Jacket Amber Ale,57,,,85,American Amber / Red Ale,12
Amber Ale,2436,0.051,,103,American Amber / Red Ale,12
King Street Pilsner,1706,0.055,,103,Czech Pilsener,12
King Street IPA,1667,0.06,70,103,American IPA,12
King Street Hefeweizen,1666,0.057,10,103,Hefeweizen,12
King Street Blonde Ale,1665,0.049,,103,American Blonde Ale,12
India Pale Ale,2460,0.063,65,88,American IPA,16
Blackberry Wheat,2459,0.048,11,88,American Pale Wheat Ale,16
Longboard Island Lager,1274,0.046,18,440,American Amber / Red Lager,24
Longboard Island Lager,1220,0.046,18,440,American Amber / Red Lager,16
Longboard Island Lager,1070,0.046,18,440,American Amber / Red Lager,12
Longboard Island Lager,590,0.046,18,440,American Amber / Red Lager,12
Choc Beer (2003),781,0.04,9,506,American Dark Wheat Ale,12
Bellingham Beer Week 2013 Collaboration,1637,0.08,,355,Belgian Strong Dark Ale,16
A Slice of Hefen,1741,0.054,15,333,Hefeweizen,16
Elevated IPA,664,0.072,100,333,American IPA,16
Rumspringa Golden Bock,392,0.066,30,546,Maibock / Helles Bock,12
Lancaster German Style Kölsch,195,0.048,28,546,Kölsch,12
Beach Cruiser,2547,0.045,,60,Hefeweizen,12
I.P. Eh!,2493,0.068,,60,American IPA,12
Schoolhouse Honey,2492,0.05,,60,American Amber / Red Ale,12
10 Degrees of Separation,2491,0.055,,60,English Brown Ale,12
Laughing Dog Cream Ale,2108,0.05,12,219,Cream Ale,12
Two-One Niner,1397,0.048,9,219,American Pilsner,12
Laughing Dog IPA,1396,0.064,66,219,American IPA,12
Madra Allta,1675,0.064,95,346,American IPA,12
Duluchan India Pale Ale,1249,0.056,70,346,American IPA,12
Lazy Monk Bohemian Pilsner,1445,0.05,,407,Czech Pilsener,16
Yellowstone Golden Ale,475,0.051,,538,Kölsch,12
Tumbleweed IPA,474,0.057,,538,American IPA,12
Lewis & Clark Amber Ale,473,0.05,,538,American Amber / Red Ale,12
Miner's Gold Hefeweizen,472,0.05,,538,Hefeweizen,12
Back Country Scottish Ale,471,0.057,,538,Scottish Ale,12
Getaway,2036,0.052,30,245,German Pilsener,16
Farm Girl Saison,1168,0.06,30,245,Saison / Farmhouse Ale,16
Adam's Stout,1832,0.058,40,299,American Stout,12
American Hero,1688,0.057,42,299,American Amber / Red Ale,12
Schweet Ale,1687,0.052,20,299,Fruit / Vegetable Beer,12
Irregardless IPA,1686,0.065,75,299,American IPA,12
Peach Pale Ale,2434,0.057,40,105,American Pale Ale (APA),12
Deadeye Jack,2332,0.06,,150,American Porter,12
Pistols at Dawn,2330,0.075,,150,American Stout,16
Peacemaker Pale Ale,2329,0.057,47,150,American Pale Ale (APA),12
Shotgun Betty,2327,0.058,11,150,Hefeweizen,12
Sweet Josie,2326,0.061,30,150,American Brown Ale,12
Long Trail IPA,1926,0.059,42,269,English India Pale Ale (IPA),12
Long Trail Ale,1924,0.046,30,269,American Amber / Red Ale,12
Double Bag,1090,0.072,33,269,Altbier,16
Blackbeary Wheat,574,0.04,8,269,Fruit / Vegetable Beer,12
Long Trail Ale (1),573,0.046,30,269,Altbier,12
Gose,2584,0.046,8,42,Gose,16
Vermont Pilsner,2583,0.048,20,42,German Pilsener,16
Mosaic Single Hop IPA,2582,0.055,,42,American IPA,16
Lost Galaxy,2581,0.045,,42,American IPA,16
Face Plant IPA,1309,0.062,65,431,American IPA,12
Rhino Chasers Pilsner,1308,0.056,55,431,Czech Pilsener,12
Slow Hand Stout,1571,0.052,29,378,American Stout,16
Hips Don't Lie,1204,0.062,,457,Hefeweizen,16
Ride Again Pale Ale,1122,0.052,,457,American Pale Ale (APA),16
The Farmer's Daughter,700,0.048,,457,American Blonde Ale,16
Pub Ale,2033,0.038,18,246,English Dark Mild Ale,12
Ballistic Blonde,2032,0.051,31,246,Belgian Pale Ale,12
Knotty Pine,2311,0.054,,159,American Pale Ale (APA),12
Lumberyard Pilsner,1153,0.053,20,159,American Pilsner,12
Lumberyard IPA,355,0.061,,159,American IPA,12
Lumberyard Red Ale,125,0.058,,159,American Amber / Red Ale,12
Mac's Highlander Pale Ale (2000),962,0.05,,486,American Pale Ale (APA),12
Mac's Scottish Style Amber Ale (2000),961,0.051,32,486,American Amber / Red Ale,12
Macon Progress Ale,1475,0.05,,401,American Pale Ale (APA),12
Macon History Ale,1008,0.055,,401,American Brown Ale,12
Galaxy High,2454,0.099,,92,American Double / Imperial IPA,12
Sol Drifter,2209,0.043,18,92,American Blonde Ale,12
Thunder Snow,2133,0.085,,92,Winter Warmer,12
The Great Pumpcan,1994,0.079,18,92,Fruit / Vegetable Beer,16
LIFT,1816,0.047,11,92,Kölsch,12
SPRYE,1815,0.05,40,92,American Pale Ale (APA),12
Psychopathy,1126,0.069,70,92,American IPA,12
Gnarly Brown,1125,0.07,32,92,American Brown Ale,12
Happy Amber,1124,0.06,30,92,American Amber / Red Ale,12
#9,1813,0.051,20,304,Fruit / Vegetable Beer,16
Elder Betty,1113,0.055,13,304,Hefeweizen,12
#9,360,0.051,20,304,Fruit / Vegetable Beer,12
High Country Pilsner (Current),511,0.042,,535,German Pilsener,12
Epic IPA,75,0.065,,535,American IPA,12
Golden Trout Pilsner,74,0.042,,535,German Pilsener,12
Real McCoy Amber Ale (Current),73,0.045,,535,American Amber / Red Ale,12
Festivus (1),1628,0.072,,357,Winter Warmer,12
Manayunk Oktoberfest,1626,0.067,,357,Märzen / Oktoberfest,12
Belgian Style Session Ale,1625,0.045,21,357,Belgian Pale Ale,12
Manayunk IPA,1624,0.055,,357,American IPA,12
Yunkin' Punkin',1600,0.055,,357,Pumpkin Ale,12
Summer Paradise,1484,0.05,18,357,American Pale Wheat Ale,12
Monk from the 'Yunk,1356,0.09,30,357,Tripel,12
Schuylkill Punch,1355,0.06,14,357,Fruit / Vegetable Beer,12
Dreamin' Double IPA,1334,0.085,85,357,American Double / Imperial IPA,12
Chaotic Double IPA,1674,0.099,93,347,American Double / Imperial IPA,12
Manzanita IPA,1673,0.08,88,347,American IPA,12
Riverwalk Blonde Ale,1672,0.06,25,347,American Blonde Ale,12
Gillespie Brown Ale,1671,0.095,49,347,American Brown Ale,12
Manzanita Pale Ale,1670,0.066,44,347,American Pale Ale (APA),12
Marble Pilsner,1262,0.047,,444,German Pilsener,12
Marble India Pale Ale,845,0.062,,444,American IPA,12
Toughcats IPA,1783,0.072,,318,American IPA,16
Tug Pale Ale,1717,0.05,,318,American Pale Ale (APA),16
Sexy Chaos,1716,0.099,,318,Russian Imperial Stout,16
Ace Hole American Pale Ale,1516,0.063,,318,American Pale Ale (APA),16
Cant Dog Imperial Pale Ale,725,0.097,,318,American Double / Imperial IPA,16
River House,2308,0.05,20,162,Saison / Farmhouse Ale,16
Pretzel Stout,2268,0.065,47,162,American Stout,16
Rubberneck Red,2197,0.05,35,162,American Amber / Red Ale,16
The Imperial Texan,2120,0.08,,162,American Double / Imperial IPA,16
The Imperial Texan,1234,0.08,,162,American Double / Imperial IPA,12
Day Break 4-Grain Breakfast Beer,1233,0.05,,162,Rye Beer,16
River House Saison,1232,0.05,,162,Saison / Farmhouse Ale,12
There Will Be Stout,1231,0.065,,162,American Stout,12
Our Legacy IPA,1831,0.065,60,300,American IPA,12
Saranac Shandy,1359,0.042,,300,Shandy,12
Our Legacy IPA,1135,0.065,60,300,American IPA,16
Saranac Golden Pilsener (2003),960,0.051,,300,German Pilsener,12
Saranac Adirondack Light (2002),959,0.045,,300,Light Lager,12
DAX Light (1998),958,0.045,,300,Light Lager,12
Saranac Traditional Lager (2000),957,0.048,,300,American Pale Lager,12
Pomegranate Wheat (2008),956,0.047,,300,Fruit / Vegetable Beer,12
Blueberry Blonde Ale,773,0.05,12,300,American Blonde Ale,12
Saranac White IPA,686,0.06,,300,American IPA,12
Saranac Summer Ale (2011),453,0.047,,300,American Pale Wheat Ale,12
Saranac Pale Ale (12 oz.),150,0.055,,300,English Pale Ale,12
Saranac Pale Ale (16 oz.),133,0.055,,300,English Pale Ale,16
Lahaina Town Brown,1578,0.051,20,376,American Brown Ale,12
Pau Hana Pilsner,1429,0.055,,376,Czech Pilsener,12
Lemongrass Saison,1271,0.05,,376,Saison / Farmhouse Ale,12
Aloha B’ak’tun,713,0.07,,376,Belgian Strong Dark Ale,12
Liquid Breadfruit,712,0.082,,376,Fruit / Vegetable Beer,12
Sobrehumano Palena'ole,690,0.06,24,376,American Amber / Red Ale,12
La Perouse White,547,0.05,12,376,Witbier,12
Flyin' HI.P.Hay,435,0.068,68,376,American IPA,12
Mana Wheat,313,0.055,15,376,American Pale Wheat Ale,12
Bikini Blonde Lager,33,0.045,18,376,Munich Helles Lager,12
CoCoNut Porter,32,0.057,30,376,American Porter,12
Big Swell IPA,31,0.062,65,376,American IPA,12
Pit Stop Chocolate Porter,1237,0.037,34,449,American Porter,12
Pace Setter Belgian Style Wit,1236,0.037,21,449,Witbier,12
Back in the Saddle Rye Pale Ale,1047,0.037,53,449,American Pale Ale (APA),12
Bushwhacker Cider,1986,0.069,,255,Cider,16
Weim-R-Iner,1985,0.069,,255,Cider,16
Cherry Bomb,1984,0.069,,255,Cider,16
Tsunami IPA,2186,0.072,75,204,American IPA,19.2
Tsunami IPA,2185,0.072,75,204,American IPA,12
Humpback Blonde Ale,2184,0.042,22,204,American Blonde Ale,12
Hawaiian Crow Porter,2178,0.052,27,204,American Porter,12
Volcano Red Ale,2177,0.052,23,204,American Amber / Red Ale,12
Mauna Kea Pale Ale,2176,0.054,42,204,American Pale Ale (APA),12
Shark Bait,1508,0.053,11,394,Fruit / Vegetable Beer,12
Gator Tail Brown Ale,1507,0.053,30,394,American Brown Ale,12
Miami Vice IPA,1506,0.071,62,394,American IPA,12
